subNum	 version	 completed	 trialNo	 easySide	 targPresent	key	 targSide	 RT	 accuracy	 var	 con
6	 T	2	95	 L	1	 l	 left	1.509	1	 x	 half
6	 T	2	96	 x	1	 l	 left	1.616	1	1.7	 full
6	 T	2	97	 x	1	 l	 left	1.498	1	6	 full
6	 T	2	98	 x	0	 r	 x	1.688	1	1.7	 full
6	 T	2	99	 L	1	 l	 left	1.429	1	 x	 half
6	 T	2	100	 L	1	 l	 left	1.509	1	 x	 half
6	 T	2	101	 x	1	 l	 right	1.538	1	1.7	 full
6	 T	2	102	 x	0	 r	 x	1.668	1	1.7	 full
6	 T	2	103	 L	0	 r	 x	1.678	1	 x	 half
6	 T	2	104	 x	1	 l	 right	1.619	1	1.7	 full
6	 T	2	105	 L	0	 r	 x	1.708	1	 x	 half
6	 T	2	106	 x	1	 l	 right	1.539	1	1.7	 full
6	 T	2	107	 L	1	 l	 left	1.469	1	 x	 half
6	 T	2	108	 x	1	 l	 left	1.747	1	6	 full
6	 T	2	109	 x	0	 r	 x	1.609	1	6	 full
6	 T	2	110	 x	1	 l	 left	1.538	1	6	 full
6	 T	2	111	 R	0	 r	 x	1.599	1	 x	 half
6	 T	2	112	 x	1	 l	 right	1.643	1	1.7	 full
6	 T	2	113	 L	0	 r	 x	1.689	1	 x	 half
6	 T	2	114	 x	1	 l	 right	1.542	1	6	 full
6	 T	2	115	 x	0	 r	 x	1.54	1	6	 full
6	 T	2	116	 x	0	 r	 x	1.568	1	6	 full
6	 T	2	117	 R	0	 r	 x	1.598	1	 x	 half
6	 T	2	118	 R	0	 r	 x	1.683	1	 x	 half
6	 T	2	119	 L	0	 r	 x	1.887	1	 x	 half
6	 T	2	120	 x	0	 r	 x	2.079	1	6	 full
6	 T	2	121	 x	0	 r	 x	1.55	1	6	 full
6	 T	2	122	 x	0	 r	 x	1.677	1	6	 full
6	 T	2	123	 x	1	 l	 right	1.59	1	6	 full
6	 T	2	124	 x	1	 l	 right	1.569	1	1.7	 full
6	 T	2	125	 L	0	 r	 x	1.687	1	 x	 half
6	 T	2	126	 x	1	 l	 left	1.588	1	1.7	 full
6	 T	2	127	 L	1	 l	 left	1.578	1	 x	 half
6	 T	2	128	 x	0	 r	 x	1.728	1	1.7	 full
6	 T	2	129	 x	0	 r	 x	1.668	1	1.7	 full
6	 T	2	130	 x	1	 r	 left	1.62	0	1.7	 full
6	 T	2	131	 R	0	 r	 x	1.7	1	 x	 half
6	 T	2	132	 L	1	 l	 right	2.317	1	 x	 half
6	 T	2	133	 x	1	 l	 right	1.607	1	1.7	 full
6	 T	2	134	 L	0	 r	 x	1.748	1	 x	 half
6	 T	2	135	 x	1	 l	 right	1.548	1	1.7	 full
6	 T	2	136	 x	1	 l	 right	1.439	1	6	 full
6	 T	2	137	 x	0	 r	 x	1.581	1	6	 full
6	 T	2	138	 x	0	 r	 x	2.003	1	1.7	 full
6	 T	2	139	 L	1	 l	 right	1.508	1	 x	 half
6	 T	2	140	 x	1	 l	 right	1.548	1	6	 full
6	 T	2	141	 R	0	 r	 x	1.586	1	 x	 half
6	 T	2	142	 x	0	 r	 x	1.648	1	6	 full
6	 T	2	143	 R	0	 r	 x	1.698	1	 x	 half
6	 T	2	144	 x	1	 l	 left	1.649	1	1.7	 full
6	 T	2	145	 L	0	 r	 x	1.59	1	 x	 half
